bodyid,name,type,status,statusLabel,voxels,pre,post,cropped,soma,cellBodyFiber,total.outputs,total.inputs,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.outputs.density,total.inputs.density,axon.outputs.density,dend.outputs.density,axon.inputs.density,dend.inputs.density,total.length,axon.length,dend.length,pd.length,segregation_index,overlap_locality
5813067334,PDM31d_pct(aSP28)(PDM31)_R,PDM31d_pct,Traced,Roughly traced,2000068209,0,1151,FALSE,TRUE,SIPT4,0,1076,0,0,0,0,0,0.314782232,NA,NA,NA,NA,3418.236131,NA,NA,3411.689225,0,NA
296479813,PDL11u_a_pct(PDL11)_R,PDL11u_a_pct,Traced,Roughly traced,118670321,0,110,FALSE,TRUE,pSLP1,0,109,0,0,0,0,0,0.21694352,NA,NA,NA,NA,502.4349191,NA,NA,499.3436969,0,NA
5813067721,MBON14(a3)_L,MBON14,Traced,Roughly traced,122023753,16,2106,FALSE,FALSE,NA,0,179,0,0,0,0,0,0.204491849,NA,NA,NA,NA,875.3405142,NA,NA,875.2500045,0,NA
5813014245,IPC_b(ADM09),IPC_b,Traced,Roughly traced,2818698351,13,805,FALSE,TRUE,MBDL,33,694,0,33,0,684,0.010145607,0.213365194,NA,0.011688966,NA,0.242280391,3252.63923,NA,2823.175241,43.34651831,0,NA
295063181,PDM31d_pct(aSP28)(PDM31)_R,PDM31d_pct,Traced,Roughly traced,2035722629,0,555,FALSE,TRUE,SIPT4,0,540,0,0,0,0,0,0.218643864,NA,NA,NA,NA,2469.769741,NA,NA,2462.11015,0,NA
299604736,PDM20g_c_pct(PDM20)_R,PDM20g_c_pct,Traced,Roughly traced,82529434,0,144,FALSE,FALSE,pSIPB3,0,60,0,0,0,0,0,0.097041743,NA,NA,NA,NA,618.290626,NA,NA,615.9403461,0,NA
5813020864,ADM09j_pct(ADM09),ADM09j_pct,Traced,Roughly traced,719751510,1,1037,FALSE,TRUE,MBDL,0,1018,0,0,0,0,0,0.463971709,NA,NA,NA,NA,2194.099297,NA,NA,2182.173259,0,NA
424193190,ADM04f_pct(ADM04)_R,ADM04f_pct,Traced,Roughly traced,889505844,0,1430,FALSE,TRUE,AMDF,0,1423,0,0,0,0,0,0.477384996,NA,NA,NA,NA,2980.822633,NA,NA,2973.804804,0,NA
603477954,PDM31c_pct(PDM31)_R,PDM31c_pct,Traced,Roughly traced,211011785,0,152,FALSE,TRUE,SIPT4,0,134,0,0,0,0,0,0.206542293,NA,NA,NA,NA,648.7775361,NA,NA,645.0966768,0,NA
574834955,PDM31c_pct(PDM31)_R,PDM31c_pct,Traced,Roughly traced,202229464,0,126,FALSE,TRUE,SIPT4,0,107,0,0,0,0,0,0.173028851,NA,NA,NA,NA,618.3939797,NA,NA,615.4144817,0,NA
549360458,(PVM12)_L,NA,Traced,Roughly traced,104499797,1,313,FALSE,FALSE,NA,0,257,0,0,0,0,0,0.379655535,NA,NA,NA,NA,676.9294166,NA,NA,676.7863082,0,NA
392445880,IPC_b(ADM09),IPC_b,Traced,Roughly traced,3321071170,7,751,FALSE,TRUE,MBDL,19,654,0,19,0,654,0.005432319,0.186986129,0,0.007065037,0,0.243186027,3497.585635,2.513273028,2689.29925,220.1206375,0,7.63E-31
327847540,PDM05r_pct(PDM05)_R,PDM05r_pct,Traced,Roughly traced,286370772,1,155,FALSE,FALSE,iPB1,0,116,0,0,0,0,0,0.124674335,NA,NA,NA,NA,930.4240559,NA,NA,928.8978382,0,NA
301037686,IPC_c(ADM09),IPC_c,Traced,Roughly traced,4666609741,4,238,FALSE,TRUE,MBDL,0,190,0,0,0,0,0,0.055724056,NA,NA,NA,NA,3409.658501,NA,NA,3408.421806,0,NA
763483246,PDM12h_pct(PDM12)_R,PDM12h_pct,Traced,Roughly traced,460005298,0,492,FALSE,TRUE,pSM2,0,475,0,0,0,0,0,0.308682528,NA,NA,NA,NA,1538.797818,NA,NA,1530.023184,0,NA
820061976,PDM12h_pct(PDM12)_R,PDM12h_pct,Traced,Roughly traced,419659555,0,455,FALSE,TRUE,pSM2,0,433,0,0,0,0,0,0.32526515,NA,NA,NA,NA,1331.221622,NA,NA,1326.671004,0,NA
5813061389,IPC_c(ADM09),IPC_c,Traced,Roughly traced,4435187521,2,371,FALSE,TRUE,MBDL,0,289,0,0,0,0,0,0.093147947,NA,NA,NA,NA,3102.591202,NA,NA,3091.858843,0,NA
733834095,(MBDLaxon1),NA,Traced,Roughly traced,152218850,113,70,FALSE,FALSE,NA,714,68,494,200,44,17,1.093811687,0.104172542,1.673317141,1.169349902,0.149040393,0.099394742,652.7631844,295.2219804,171.0352049,105.6872598,5.86E-05,NA
735207605,(PDM12)_L,NA,Traced,Roughly traced,452650553,0,340,FALSE,TRUE,NA,0,323,0,0,0,0,0,0.251435023,NA,NA,NA,NA,1284.626127,NA,NA,1279.645167,0,NA
1653342390,ON_small,ON,Traced,Roughly traced,114587200,2,114,FALSE,FALSE,NA,0,74,0,0,0,0,0,0.157065943,NA,NA,NA,NA,471.1396907,NA,NA,468.924427,0,NA
1252833634,AVM19c_pct(AVM19)_R,AVM19c_pct,Traced,Roughly traced,1995042818,1,1562,FALSE,TRUE,aCORE,3,1509,0,3,0,1509,0.000851739,0.428424887,NA,0.00092275,NA,0.46414316,3522.204346,NA,3251.152081,52.93748741,1.11E-16,NA
5813123804,AVM09e_pct(AVM09)_R,AVM09e_pct,Traced,Roughly traced,499114198,1,314,FALSE,TRUE,LALT1,0,312,0,0,0,0,0,0.240576745,NA,NA,NA,NA,1296.883454,NA,NA,1291.906397,0,NA
1138799127,MC61,MC61,Traced,Roughly traced,37753505,27,33,FALSE,FALSE,NA,22,10,0,22,0,10,0.117464128,0.053392785,0,0.633027698,0,0.287739863,187.2912214,18.6745664,34.75361359,131.0376168,0,2.93E-92
1137771796,MC61,MC61,Traced,Roughly traced,46498032,26,41,FALSE,FALSE,NA,39,17,0,39,0,17,0.155936107,0.067972149,0,0.745906304,0,0.325138645,250.102435,24.26652432,52.2853873,166.5959282,2.22E-16,NA
1138807874,MC61,MC61,Traced,Roughly traced,57136454,44,58,FALSE,FALSE,NA,32,16,0,32,0,16,0.112751066,0.056375533,0,0.585816327,0,0.292908164,283.8110651,51.98779397,54.62462977,169.2750165,0,NA
1140867533,MC61,MC61,Traced,Roughly traced,50971565,16,22,FALSE,FALSE,NA,27,7,0,27,0,7,0.11735375,0.030425046,0,1.286887845,0,0.333637589,230.0736031,0.776013567,20.98084935,20.36591021,0,0.717927944
1200864690,MC61,MC61,Traced,Roughly traced,45058848,24,63,FALSE,FALSE,NA,30,24,0,30,0,24,0.128470055,0.102776044,0,0.635591241,0,0.508472993,233.5174526,28.27982438,47.20014701,11.26091867,1.11E-16,NA
1199837196,MC61,MC61,Traced,Roughly traced,37588462,27,39,FALSE,FALSE,NA,21,8,0,21,0,8,0.071131176,0.027097591,0,1.016520184,0,0.387245784,295.2291989,9.657658867,20.65871424,260.678886,0,NA
1168810900,MC61,MC61,Traced,Roughly traced,42085694,24,31,FALSE,FALSE,NA,34,11,0,34,0,11,0.135670407,0.043893367,0,0.802044774,0,0.259485074,250.6073418,31.13144471,42.39164831,173.5390411,-2.22E-16,NA
1199086313,R3p_b(ring)(AVM07)_L,R3p_b,Traced,Roughly traced,479884943,294,845,FALSE,FALSE,NA,4,35,0,4,0,35,0.004310103,0.0377134,NA,0.005025177,NA,0.043970297,928.0521084,NA,795.9919004,24.66381963,0,NA
1259510931,MC64,MC64,Traced,Roughly traced,84439798,52,76,FALSE,FALSE,NA,275,40,118,118,17,18,0.647493792,0.094180915,2.70705979,0.755082963,0.390000139,0.115182147,424.7144967,43.58972803,156.2742186,78.56025082,0.000119328,5.33E-172
1290416713,ExR8(ring)_L,ExR8,Traced,Traced,584060611,0,1336,FALSE,TRUE,PDM04,0,1324,0,0,0,0,0,0.622464763,NA,NA,NA,NA,2127.028033,NA,NA,2123.97448,0,NA
1222272714,PVM10h_pct(PVM10)_R,PVM10h_pct,Traced,Roughly traced,158554374,0,158,FALSE,FALSE,IBXT,0,149,0,0,0,0,0,0.208981904,NA,NA,NA,NA,712.9803944,NA,NA,711.3608657,0,NA
1196031279,(PVM09)_L,NA,Traced,Roughly traced,302874977,0,485,FALSE,TRUE,NA,0,479,0,0,0,0,0,0.419545613,NA,NA,NA,NA,1141.711379,NA,NA,1140.135813,0,NA
1168331947,FQ4_b_C9_L_small,FQ4_b,Traced,Roughly traced,136243947,88,291,FALSE,FALSE,PDM04,2,265,0,2,0,265,0.002269996,0.300774426,0,0.003518269,0,0.466170657,881.0589502,101.9730657,568.461348,43.54718463,0,6.78E-07
5813067799,NA,NA,Traced,Roughly traced,720857128,4,261,FALSE,TRUE,NA,4,249,4,0,246,0,0.002189104,0.136271708,0.002615382,NA,0.160845976,NA,1827.231809,1529.413458,NA,63.9208472,0,NA
5813045297,MC62(LWF5)_R,MC62,Traced,Roughly traced,58819743,23,11,FALSE,FALSE,NA,138,9,0,138,0,9,0.630471243,0.04111769,NA,1.309642866,NA,0.085411491,218.883893,NA,105.3722382,7.84673825,0,NA
1414418492,AVL07y_pct(AVL07)_R,AVL07y_pct,Traced,Roughly traced,235685566,0,182,FALSE,TRUE,LEA1,0,181,0,0,0,0,0,0.193786779,NA,NA,NA,NA,934.0162472,NA,NA,930.0488219,0,NA
5813006657,ON_small,ON,Traced,Roughly traced,177486375,0,61,FALSE,TRUE,NA,0,53,0,0,0,0,0,0.106202947,NA,NA,NA,NA,499.0445321,NA,NA,495.6034399,0,NA
1819805664,aMe4,aMe4,Traced,Roughly traced,379926238,1,124,FALSE,TRUE,NA,0,78,0,0,0,0,0,0.124723583,NA,NA,NA,NA,625.3829333,NA,NA,620.9503461,0,NA
1965254251,PVM07d_pct(PVM07)_R,PVM07d_pct,Traced,Roughly traced,325167101,3,202,FALSE,TRUE,PSF2,7,198,0,7,0,172,0.008431072,0.238478899,0,0.011643222,0,0.286090596,830.2621366,0.249415316,601.2081562,125.4018093,0,7.05E-57
1500680443,MC62(LWF5)_R,MC62,Traced,Roughly traced,67795819,31,16,FALSE,FALSE,NA,97,6,0,97,0,6,0.475794766,0.029430604,0,2.49769154,0,0.154496384,203.8694137,15.59044011,38.83586042,143.0677334,0,NA
1467685479,PVM02k_pct(PVM02)_R,PVM02k_pct,Traced,Roughly traced,294836223,0,113,FALSE,TRUE,pIBF1,0,108,0,0,0,0,0,0.127549434,NA,NA,NA,NA,846.7305301,NA,NA,843.3465939,0,NA
1416347967,(ADM03)_L,NA,Traced,Roughly traced,299519571,0,1267,FALSE,FALSE,NA,0,768,0,0,0,0,0,0.637569258,NA,NA,NA,NA,1204.575016,NA,NA,1202.58488,0,NA
1620667669,LC12,LC12,Traced,Roughly traced,133141604,129,181,FALSE,FALSE,NA,2,36,2,0,36,0,0.004822708,0.08680875,0.007996596,0,0.143938726,0,414.7047385,250.106424,3.144492753,44.78108031,0,3.26E-78
5813023910,PVM02oc_pct(PVM02)_R,PVM02oc_pct,Traced,Roughly traced,272664382,0,218,FALSE,TRUE,pIBF1,0,208,0,0,0,0,0,0.253834313,NA,NA,NA,NA,819.4321615,NA,NA,816.0519289,0,NA
1621004685,LC12,LC12,Traced,Roughly traced,136046815,133,200,FALSE,FALSE,NA,0,47,0,0,0,0,0,0.114190945,NA,NA,NA,NA,411.5913055,NA,NA,409.946252,0,NA
5812995552,MC62(LWF5)_R,MC62,Traced,Roughly traced,46895102,21,22,FALSE,FALSE,NA,0,7,0,0,0,0,0,0.039677936,NA,NA,NA,NA,176.4204671,NA,NA,175.0043407,0,NA
2033005397,LC14(PVL12)_R,LC14,Traced,Roughly traced,397889764,0,121,FALSE,TRUE,PLBDL5,0,115,0,0,0,0,0,0.168331933,NA,NA,NA,NA,683.1740013,NA,NA,680.1900421,0,NA
5813024810,LLPC2c,LLPC2c,Traced,Roughly traced,87068130,69,37,FALSE,FALSE,NA,106,10,0,106,0,10,0.51825075,0.04889158,0,1.574500015,0,0.148537737,204.534195,2.395942493,67.32295901,130.1828613,0,NA
5812997925,LLPC2c,LLPC2c,Traced,Roughly traced,103791082,84,37,FALSE,FALSE,NA,212,13,0,212,0,13,1.016626694,0.062340316,NA,2.569583207,NA,0.157568782,208.5327891,NA,82.5036525,50.92580297,-2.22E-16,NA
5813046237,LPC1,LPC1,Traced,Roughly traced,100332036,70,46,FALSE,FALSE,NA,123,9,0,123,0,9,0.488703868,0.03575882,0,1.433455478,0,0.104886986,251.6861601,18.59615491,85.80664128,140.8243546,0,NA
1714138479,LPC1,LPC1,Traced,Roughly traced,150322317,108,104,FALSE,FALSE,NA,436,61,0,436,0,61,1.297153741,0.181482519,NA,1.982287352,NA,0.277338368,336.1205278,NA,219.9479302,108.4869072,0,NA